FrameTimeMillis,MemoryUsageBytes,Technique
37.4135,0,NaiveDebugWorld
183.6859,879008,NaiveDebugWorld
29.0585,2860592,NaiveDebugWorld
32.4896,36163264,NaiveDebugWorld
446.841,102437432,NaiveDebugWorld
741.8452,104412528,NaiveDebugWorld
19.93,106613576,NaiveDebugWorld
17.2135,172892512,NaiveDebugWorld
427.9722,245881688,NaiveDebugWorld
474.6489,245881336,NaiveDebugWorld
7.7877,245886136,NaiveDebugWorld
5.0439,245886616,NaiveDebugWorld
4.7813,245887096,NaiveDebugWorld
105.8728,245880792,NaiveDebugWorld
70.46301,245887096,NaiveDebugWorld
35.4371,245887576,NaiveDebugWorld
35.7717,245888056,NaiveDebugWorld
36.0714,245888536,NaiveDebugWorld
36.9873,245889016,NaiveDebugWorld
91.515,248158624,NaiveDebugWorld
19.1662,250439600,NaiveDebugWorld
18.6674,325166832,NaiveDebugWorld
498.7331,399892152,NaiveDebugWorld
505.4358,402166768,NaiveDebugWorld
21.6457,404447192,NaiveDebugWorld
18.1447,479177360,NaiveDebugWorld
5.8503,0,CullingDebugWorld
104.7872,770320,CullingDebugWorld
34.4526,942080,CullingDebugWorld
9.785199,1290424,CullingDebugWorld
10.8852,1657256,CullingDebugWorld
54.3756,2009712,CullingDebugWorld
11.3465,2390528,CullingDebugWorld
11.4713,2757264,CullingDebugWorld
53.8537,2877552,CullingDebugWorld
56.4689,2877080,CullingDebugWorld
5.6301,2877560,CullingDebugWorld
5.2538,2879432,CullingDebugWorld
5.4251,2879912,CullingDebugWorld
5.3882,2880392,CullingDebugWorld
5.8296,2880872,CullingDebugWorld
6.5356,2881352,CullingDebugWorld
5.8386,2881832,CullingDebugWorld
5.272,2882312,CullingDebugWorld
5.3381,2882808,CullingDebugWorld
108.2313,2880376,CullingDebugWorld
56.7391,3271000,CullingDebugWorld
12.014,3661744,CullingDebugWorld
11.2563,3664432,CullingDebugWorld
56.1945,4054208,CullingDebugWorld
11.8387,4444952,CullingDebugWorld
11.5131,4448816,CullingDebugWorld
